Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Norridge village, Illinois",NORRIDGE PD,14697,0,2,3,5,32,451,12,0,8,4,8,0,0,20,14712,0,0,5,7,36,423,5,0,18,2,7,1,0,28,30.81763495330062,0.5062763282186018,28,55,37,86,10,23
"North Aurora village, Illinois",NORTH AURORA PD,17492,0,2,4,7,35,182,4,0,18,0,9,0,0,27,17216,0,4,12,7,36,180,5,12,17,1,8,0,0,26,25.972341206706645,0.8927568859752513,47,144,45,120,34,179
"North Barrington village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.09036144578313,0.3241920562292025,63,,63,,38,
"North Chicago city, Illinois",NORTH CHICAGO PD,29898,5,10,17,81,95,201,15,46,55,40,14,0,2,111,29458,4,17,43,67,133,221,14,77,69,24,3,0,0,96,14.507013893549903,1.2953615653743897,55,97,64,123,33,111
"North Riverside village, Illinois",NORTH RIVERSIDE PD,6703,0,0,10,5,10,392,9,0,13,12,3,1,2,31,6712,0,0,8,7,23,451,18,0,23,5,6,0,0,34,24.48820206048521,0.9734598110599172,24,57,19,51,23,67
"Northbrook village, Illinois",NORTHBROOK PD,33768,0,5,6,2,43,306,6,2,60,6,44,0,0,110,33698,0,4,2,1,43,310,3,1,52,5,42,0,0,99,28.592210941051675,0.5637801520940382,39,64,49,86,19,52
"Northfield village, Illinois",NORTHFIELD PD,5497,0,1,0,0,3,30,2,0,2,5,3,0,0,10,5496,0,1,1,3,18,68,1,0,5,0,6,0,0,11,29.683081423695757,0.3798013470201749,30,106,40,119,21,65
"Northlake city, Illinois",NORTHLAKE PD,12382,1,1,2,7,39,216,3,0,126,23,76,0,1,226,12392,0,2,1,5,25,219,10,0,42,15,21,0,2,80,22.56911428068322,0.9156668389663237,33,81,34,72,12,68
"Oak Brook village, Illinois",OAK BROOK PD (MCA),8108,0,1,1,8,23,474,2,0,24,5,18,1,0,48,8077,0,1,1,4,14,401,6,1,31,4,18,0,0,53,26.686027750887384,0.8401170957467246,30,113,28,101,17,115
"Oak Forest city, Illinois",OAK FOREST PD,28222,0,8,13,17,50,205,17,0,92,14,45,0,0,151,28252,0,1,7,18,65,255,16,0,77,14,31,0,0,122,29.358283079106066,0.748845154321442,34,97,35,61,38,109
"Oak Lawn village, Illinois",OAK LAWN PD,57112,0,8,21,41,110,696,39,1,145,139,133,12,0,429,57159,3,12,34,41,121,857,33,6,112,96,119,8,1,336,32.59217877094972,0.7809939438798068,39,54,14,29,31,97
"Oak Park village, Illinois",OAK PARK PD,52036,0,0,6,1,18,100,6,0,12,6,5,0,0,23,52109,0,5,77,21,401,1088,75,4,59,21,11,2,0,93,32.06315144083384,1.0202888993144845,18,35,26,61,25,74
"Oakbrook Terrace city, Illinois",OAKBROOK TERRACE PD,2180,0,1,0,2,11,86,1,0,61,10,16,2,0,89,2165,0,2,0,2,10,105,2,0,71,20,17,0,0,108,26.44083969465649,0.9151634065574737,30,85,27,81,17,106
"Oakwood Hills village, Illinois",OAKWOOD HILLS PD,2067,0,0,0,0,0,12,1,0,0,0,1,0,1,2,2079,0,0,0,0,0,7,0,0,2,1,4,0,0,7,33.581204379562045,0.2977923101444205,73,,76,,49,
"Old Mill Creek village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.34375,0.7724767403803103,56,,64,,33,
"Olympia Fields village, Illinois",OLYMPIA FIELDS PD,5058,0,4,1,1,15,104,2,0,23,3,1,0,0,27,5056,0,2,4,1,14,102,3,0,23,3,0,0,0,26,37.90816326530612,0.7388724243608149,42,51,41,79,46,103
"Orland Hills village, Illinois",ORLAND HILLS PD,7292,0,0,1,5,7,70,0,0,53,4,49,0,0,106,7307,0,0,2,1,3,33,1,0,29,10,10,0,0,49,32.70008307947937,0.7698083014458421,45,82,38,84,46,156
"Orland Park village, Illinois",ORLAND PARK PD (MCA),59161,0,1,11,14,32,1157,14,1,382,56,299,13,0,750,59056,1,2,4,15,27,1258,8,1,335,59,252,11,0,657,34.25590179414542,0.6193069623853071,43,112,30,55,38,144
"Palatine village, Illinois",WILLIAM RAINEY HARPER COLLEGE PD,69583,0,8,15,13,18,569,16,2,254,59,158,0,0,471,69533,3,6,6,21,35,604,20,3,214,53,120,0,2,389,27.91479491470683,0.987299629043219,44,88,46,103,19,60
"Palos Heights city, Illinois",PALOS HEIGHTS PD,12616,0,0,0,0,4,59,3,1,39,3,54,0,0,96,12633,0,0,0,6,9,131,6,0,42,4,88,0,0,134,33.17295980511571,0.42870789632004863,41,80,25,42,32,143
"Palos Hills city, Illinois",PALOS HILLS PD,17660,0,1,1,6,19,145,7,0,20,11,9,0,0,40,17673,0,3,6,20,23,132,7,1,32,14,22,0,0,68,31.563293434892998,0.6817224346748045,36,79,24,42,29,131
"Palos Park village, Illinois",PALOS PARK PD,4919,0,0,0,0,4,29,2,0,47,0,26,0,0,73,4918,0,0,0,1,1,29,0,0,36,2,27,0,0,65,31.12280701754386,0.4888089542885212,38,66,25,93,33,112
"Park City city, Illinois",PARK CITY PD,7410,0,4,1,2,38,77,15,0,40,3,18,3,0,64,7366,0,5,3,4,27,77,12,0,29,10,16,0,0,55,24.56232159847764,1.1240474868772579,52,123,60,150,29,149
"Park Forest village, Illinois",PARK FOREST PD (MCA),22046,1,15,26,31,95,283,20,5,130,23,22,1,0,176,22073,0,8,30,30,109,255,20,1,137,18,26,2,0,183,33.221005815942526,0.9303157912641999,46,53,45,81,50,105
"Park Ridge city, Illinois",PARK RIDGE PD,37942,0,0,4,2,76,314,7,3,53,8,42,0,0,103,37919,0,1,4,7,79,365,7,1,51,6,31,0,0,88,29.230235365117682,0.4815360366798699,32,64,38,87,7,27
"Peotone village, Illinois",PEOTONE PD,4133,0,0,0,0,4,23,4,0,17,4,17,0,0,38,4129,0,0,3,1,4,23,3,2,26,2,21,0,0,49,30.077392120075046,0.15310393121055943,51,,51,,56,
"Phoenix village, Illinois",PHOENIX PD,1970,0,1,5,8,25,22,7,0,7,0,0,0,0,7,1978,0,0,5,6,27,27,2,0,11,5,0,0,0,16,25.595419847328245,0.4303172903408091,35,51,35,79,40,103
"Pingree Grove village, Illinois",PINGREE GROVE PD,6254,0,0,0,1,0,9,0,0,7,0,7,0,0,14,5702,0,2,0,1,3,13,0,2,3,0,1,0,0,4,47.30285234899329,0.8560912770570586,62,,64,,37,
"Plainfield village, Illinois",PLAINFIELD PD (MCA),42706,1,10,7,21,44,295,10,2,83,13,67,0,0,163,42196,0,6,9,16,37,277,12,8,175,20,108,1,0,304,37.105085625324335,0.8707686894682656,51,95,39,150,43,150
"Port Barrington village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.796992481203006,0.5878477045521138,70,,71,,45,
"Posen village, Illinois",POSEN PD,6029,0,0,5,2,29,62,8,1,8,7,2,0,0,17,6037,1,0,2,8,49,75,13,0,19,7,9,0,0,35,33.76031164069661,0.9653574808507226,31,82,30,78,35,145
"Prairie Grove village, Illinois",PRAIRIE GROVE PD,1868,0,0,0,0,1,3,0,0,3,0,2,0,0,5,1875,0,0,0,0,8,7,1,0,1,0,1,0,0,2,37.383449883449885,0.4231490306115242,76,156,78,173,52,149
"Prospect Heights city, Illinois",PROSPECT HEIGHTS PD,16456,0,1,2,11,19,86,7,0,34,12,31,1,1,79,16442,0,0,3,18,23,121,13,1,53,15,45,1,0,114,25.214029273681305,0.8781081753411124,44,97,50,112,19,69
"Richmond village, Illinois",RICHMOND PD,1899,0,0,1,5,5,22,1,0,31,4,33,0,0,68,1892,0,0,0,3,1,16,0,0,30,1,31,0,1,63,31.022286821705425,0.43219439105763824,82,133,90,159,59,144
"Richton Park village, Illinois",RICHTON PARK PD,13775,0,7,25,7,57,233,25,0,32,2,2,0,0,36,13792,2,3,26,18,82,220,24,0,42,10,1,0,0,53,31.784126984126985,0.6882854556505964,43,57,43,85,47,109
"Ringwood village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.18716577540107,0.30353208379587715,85,,88,,62,
"River Forest village, Illinois",RIVER FOREST PD,11216,1,0,5,13,75,182,3,3,31,13,4,0,0,48,11218,0,2,7,10,73,168,2,1,28,25,2,0,0,55,31.137224326130543,0.6874171445753069,24,47,31,78,20,60
"River Grove village, Illinois",RIVER GROVE PD,10281,0,2,5,10,29,85,16,1,3,0,1,0,0,4,10291,0,0,3,6,19,92,7,0,10,1,3,1,0,15,34.49772592446114,0.6934066284216256,29,68,34,66,13,35
"Riverdale village, Illinois",RIVERDALE PD,13615,1,2,14,5,12,23,7,0,7,2,3,0,0,12,13640,4,9,93,50,155,222,38,2,41,14,8,0,2,65,36.236111111111114,0.338397104359085,34,34,37,62,42,86
"Riverside village, Illinois",RIVERSIDE PD,8882,0,0,0,57,11,71,1,0,18,20,18,0,1,57,8899,0,0,2,49,16,90,0,0,10,5,12,0,0,27,30.095081135902635,0.5571452250268523,26,52,18,39,25,67
"Riverwoods village, Illinois",RIVERWOODS PD,3658,0,0,0,0,5,21,0,0,3,0,2,0,0,5,3654,0,0,0,0,8,14,0,0,1,0,0,0,0,1,30.855920114122682,0.3498250925742321,39,112,47,125,16,85
"Robbins village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.815181518151814,0.19915294371226108,35,83,31,59,36,139
"Rockdale village, Illinois",ROCKDALE PD,1952,0,0,1,1,2,4,3,0,0,1,0,0,0,1,1952,0,1,0,4,4,2,0,0,2,0,1,0,0,3,21.134593993325918,0.8142101663216413,53,102,44,126,47,164
"Rolling Meadows city, Illinois",ROLLING MEADOWS PD,24321,0,3,3,11,26,184,5,0,20,6,22,1,1,50,24333,0,4,4,8,26,212,8,0,70,9,54,0,0,133,25.014967423842226,0.968985089748879,42,79,44,104,17,42
"Romeoville village, Illinois",ROMEOVILLE PD,39682,0,10,7,30,47,363,17,3,109,27,62,2,0,200,39645,2,11,13,22,66,576,17,0,110,19,75,0,0,204,33.90834220404504,1.1583598666817836,44,125,32,139,36,181
"Roselle village, Illinois",ROSELLE PD (MCA),23094,0,3,7,6,18,130,4,6,82,14,48,1,0,145,23095,0,2,1,5,24,212,10,3,89,13,58,1,0,161,28.1784871967655,0.8762604119276476,38,77,39,90,21,64
"Rosemont village, Illinois",ROSEMONT PD,4231,1,3,4,27,10,276,15,0,20,27,13,2,0,62,4244,0,1,7,10,7,215,12,0,11,21,3,1,1,37,21.945554445554446,0.9329443127930097,34,76,41,99,8,36
"Round Lake Beach village, Illinois",ROUND LAKE BEACH PD,27983,0,16,10,21,47,479,8,1,67,19,71,0,0,157,28067,1,6,5,23,60,592,10,0,61,35,66,0,0,162,31.924006235385814,0.9651251269918175,65,107,73,131,42,88
"Round Lake Heights village, Illinois",ROUND LAKE HEIGHTS PD,2731,0,0,0,2,3,29,2,0,6,5,4,0,0,15,2736,0,1,2,10,4,24,0,0,6,1,6,0,0,13,35.36462699077955,1.0510054432898188,66,143,74,165,43,122
"Round Lake Park village, Illinois",ROUND LAKE PARK PD,7350,0,0,0,10,8,69,1,0,99,19,101,1,0,220,7352,0,0,1,1,16,64,1,0,115,12,99,2,1,229,29.106463878326995,0.980971657197187,64,143,72,165,41,121
"Round Lake village, Illinois",ROUND LAKE PD,18584,0,4,2,15,25,145,3,0,55,19,70,1,0,145,18503,0,3,6,14,16,134,1,0,49,4,50,0,0,103,37.294688749286124,1.0985952805909076,65,134,73,156,42,113
"Sauk Village village, Illinois",SAUK VILLAGE PD (MCA),10555,1,4,13,14,103,70,16,2,9,13,10,4,0,36,10559,3,4,22,21,165,109,14,5,16,26,14,1,0,57,34.14583905520461,0.9378624698908953,39,97,41,157,48,159
"Schaumburg village, Illinois",SCHAUMBURG PD,75050,1,13,18,23,127,1652,41,2,127,46,74,7,0,254,75060,0,21,22,33,149,1653,78,1,194,39,122,3,0,358,28.013711033501487,0.9577137217993759,45,135,46,152,20,84
"Schiller Park village, Illinois",SCHILLER PARK PD,11871,1,2,5,6,33,161,11,1,19,10,9,0,0,38,11892,0,1,2,5,72,172,18,0,19,14,10,0,0,43,29.900249376558605,0.9523727509436514,30,66,36,90,4,27
"Shorewood village, Illinois",SHOREWOOD PD,16796,2,4,0,11,22,165,11,0,38,10,9,0,0,57,16490,0,3,2,3,22,106,9,2,48,9,12,0,1,70,32.23054715424801,0.8073968951779428,52,148,40,171,44,209
"Skokie village, Illinois",SKOKIE PD,65184,0,15,29,110,229,1055,49,3,180,46,111,0,5,342,65263,2,16,46,109,256,1027,46,7,211,51,101,0,0,363,29.922937443336355,1.1034402978793993,29,66,38,93,25,52
"Sleepy Hollow village, Illinois",SLEEPY HOLLOW PD,3348,0,0,0,1,2,9,0,0,13,1,9,0,0,23,3338,0,0,0,1,2,15,0,0,6,2,6,0,0,14,31.273990734612838,0.5440599380374654,58,137,62,161,34,123
"South Barrington village, Illinois",SOUTH BARRINGTON PD,4883,0,0,1,0,9,42,0,0,32,10,39,3,0,84,4745,0,0,0,0,6,50,0,0,24,12,31,0,0,67,29.78207033184745,0.8383233103478505,48,,52,,23,
"South Chicago Heights village, Illinois",SOUTH CHICAGO HEIGHTS PD,4161,0,0,6,6,17,134,5,1,3,1,1,0,0,5,4162,0,2,7,7,18,108,7,0,9,1,3,0,0,13,26.90929041697147,1.1715971257088584,44,109,46,147,52,171
"South Elgin village, Illinois",SOUTH ELGIN PD,22280,0,0,2,16,18,244,2,0,48,8,46,0,0,102,22248,0,1,2,23,27,207,3,0,44,10,59,0,1,114,31.95385325334564,0.7522847367274534,58,118,59,142,38,104
"South Holland village, Illinois",SOUTH SUBURBAN COLLEGE PD,22169,1,6,43,16,77,358,44,1,73,33,5,1,0,112,22201,1,12,34,16,82,282,35,1,71,31,10,0,0,112,34.20712153046556,0.6879581499725808,33,82,37,110,41,138
"Spring Grove village, Illinois",SPRING GROVE PD,5712,0,0,0,0,1,23,1,1,25,2,22,0,0,49,5718,0,3,0,1,7,34,0,1,33,9,25,2,0,69,38.134130146082335,0.259327055836908,80,,86,,57,
"St. Charles city, Illinois",ST CHARLES PD (MCA),33489,0,2,4,16,43,364,9,3,119,28,114,0,0,261,33335,0,3,2,15,63,420,7,1,84,16,76,0,0,176,30.23322722820764,0.5572656166192156,60,133,58,157,45,119
"Steger village, Illinois",STEGER PD (MCA),9552,0,3,10,18,61,242,16,2,39,7,12,2,0,60,9561,0,5,18,13,74,332,16,1,38,1,12,0,0,51,29.20275344180225,1.096003115548518,45,107,47,150,54,169
"Stickney village, Illinois",STICKNEY PD,6825,0,1,3,2,3,75,4,1,7,2,1,0,1,11,6833,0,1,2,5,6,68,4,0,22,2,4,0,0,28,29.35191403626595,0.8370857563432437,23,64,11,58,31,103
"Stone Park village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.660574412532636,0.3255602105057703,31,74,33,70,11,47
"Streamwood village, Illinois",STREAMWOOD PD,40451,0,5,12,33,50,516,14,1,94,20,83,2,0,199,40456,0,9,8,24,67,575,22,0,94,11,76,1,0,182,31.621231095270204,1.0973077281161487,50,114,51,138,27,93
"Sugar Grove village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.13070539419087,0.5464487785831489,52,,50,,40,
"Summit village, Illinois",SUMMIT PD,11547,1,1,12,22,20,139,37,4,76,45,33,0,0,154,11561,0,2,14,29,34,197,41,19,72,43,28,0,0,143,28.833002426649017,0.9091398677993815,25,64,12,28,31,109
"Symerton village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22222222222222,0.438159320026818,63,,60,,64,
"Third Lake village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50146627565982,0.3440220241209936,59,148,67,176,36,174
"Thornton village, Illinois",THORNTON PD,2403,0,0,2,0,7,27,1,0,10,0,3,0,0,13,2349,0,1,1,6,4,20,1,0,18,3,13,0,0,34,30.465918895599653,0.7250159402181019,39,80,39,103,44,136
"Tinley Park village, Illinois",TINLEY PARK PD (MCA),57403,0,6,12,37,81,581,16,2,189,23,140,4,1,357,57405,0,4,12,24,95,749,25,4,193,43,125,6,0,367,33.0997809342096,0.6737358573713016,38,89,39,71,42,130
"Tower Lakes village, Illinois",TOWER LAKES PD,1261,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1275,0,0,0,0,1,3,0,0,1,0,0,0,0,1,40.45293072824156,0.293940321136846,66,,67,,42,
"Trout Valley village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.17670682730924,0.2752301879979645,70,124,74,141,45,117
"Union village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.255102040816325,0.14483725263473424,70,,74,,46,
"University Park village, Illinois",UNIVERSITY PARK PD (MCA),7087,1,2,7,3,14,68,5,0,5,0,0,0,0,5,7105,1,7,23,9,44,89,12,0,7,0,0,0,0,7,40.85021851410409,0.5204635454500716,51,61,50,89,55,115
"Vernon Hills village, Illinois",VERNON HILLS PD,26132,0,2,6,5,65,454,4,2,55,11,48,1,0,115,25759,0,2,4,4,42,466,4,12,59,15,69,6,0,149,26.49992002559181,0.9075191748874073,48,87,56,111,25,68
"Villa Park village, Illinois",VILLA PARK PD,22067,0,8,4,9,21,364,14,0,33,15,29,0,1,78,22136,0,4,7,8,43,425,28,0,55,8,45,0,0,108,27.21511358368104,0.8898556538733127,35,68,33,86,21,104
"Virgil village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.601063829787233,0.019734531618407963,72,,70,,54,
"Volo village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.76283987915408,0.9264876695552168,69,,72,,46,
"Wadsworth village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.13336992316136,0.8568677685897303,59,,67,,36,
"Warrenville city, Illinois",WARRENVILLE PD,13373,0,6,4,3,12,100,6,0,64,9,37,2,0,112,13400,0,5,1,5,14,81,5,0,94,16,68,2,0,180,26.114751812604574,0.8579513169520221,40,144,38,121,28,179
"Wauconda village, Illinois",WAUCONDA PD,13954,0,2,1,3,13,79,3,0,12,3,22,0,0,37,13870,0,4,0,4,21,86,3,1,30,5,28,0,0,63,31.971487082545682,0.7723076691216382,64,,66,,39,
"Waukegan city, Illinois",WAUKEGAN PD,88855,1,17,160,208,490,1796,129,27,170,158,104,5,5,442,88747,6,27,151,206,654,1837,85,22,208,101,116,7,0,432,25.918539622243326,1.1594072826770419,59,100,67,126,35,114
"Wayne village, Illinois",WAYNE PD (MCA),2450,0,0,0,0,1,1,0,0,3,0,2,0,0,5,2458,0,0,0,0,6,1,0,0,6,1,6,2,0,15,35.335241210139,0.1954442481467319,56,,56,,36,
"West Chicago city, Illinois",WEST CHICAGO PD,27578,1,6,10,5,67,273,18,3,32,8,24,0,1,65,27636,0,7,5,13,55,273,18,1,38,14,36,0,1,89,25.00627647889534,0.9825605183640145,51,91,49,109,38,117
"West Dundee village, Illinois",WEST DUNDEE PD,7405,0,0,1,0,8,118,0,0,18,1,10,0,0,29,7375,1,1,0,0,11,168,2,0,16,2,16,0,0,34,29.36884625094673,0.684780597861204,54,127,58,151,30,113
"Westchester village, Illinois",WESTCHESTER PD,16827,0,7,3,4,39,177,6,1,23,6,11,0,1,41,16849,0,0,1,4,27,123,8,2,26,5,6,0,0,37,29.51701134089393,1.0286229123324389,26,55,25,56,17,62
"Western Springs village, Illinois",WESTERN SPRINGS PD,13359,0,0,0,1,10,31,1,0,7,0,3,0,0,10,13217,0,0,2,0,8,35,1,0,9,2,6,0,0,17,32.01342916587857,0.24018463638848284,31,64,23,51,18,93
"Westmont village, Illinois",WESTMONT PD,25034,0,3,7,13,51,267,8,5,72,16,60,5,9,162,25047,0,2,10,7,35,235,9,1,84,18,77,7,0,186,28.550152749490834,0.981668368460786,36,69,29,64,23,109
"Wheaton city, Illinois",WHEATON PD,53800,0,2,9,12,60,321,7,5,185,47,146,0,0,378,53806,0,5,12,11,48,311,11,2,172,40,166,1,0,379,26.315251604463885,0.6269158551320395,45,82,43,100,32,108
"Wheeling village, Illinois",WHEELING PD (MCA),38093,0,8,10,32,73,325,9,0,128,15,34,0,6,183,38095,0,9,14,24,99,393,10,3,90,7,32,0,0,129,25.89241992704742,1.0806175626633743,43,76,50,99,18,57
"Willow Springs village, Illinois",WILLOW SPRINGS PD,5720,0,0,1,1,3,18,1,0,1,0,1,0,0,2,5722,1,0,2,3,5,22,1,0,4,5,0,0,0,9,35.97257769652651,0.5481327714970439,29,90,17,33,24,134
"Willowbrook village, Illinois",WILLOWBROOK PD,8651,0,2,3,8,15,116,7,0,20,4,13,2,0,39,8675,0,0,3,2,8,106,6,0,9,0,5,0,0,14,28.11206696117182,0.8384647526493051,34,126,21,129,21,165
"Wilmette village, Illinois",WILMETTE PD,27531,0,2,1,4,64,298,10,0,146,30,36,0,0,212,27427,0,3,2,5,57,290,5,0,92,10,15,1,0,118,34.22332457932108,0.6369525552880647,32,52,41,80,27,76
"Wilmington city, Illinois",WILMINGTON PD,5703,0,0,1,4,9,39,3,0,17,3,17,1,0,38,5709,0,4,1,2,14,32,2,0,11,3,11,1,0,26,32.98231511254019,0.5609763020780881,67,,55,,59,
"Winfield village, Illinois",WINFIELD PD,9679,0,1,0,2,4,21,2,0,11,2,7,1,0,21,9582,0,0,0,0,8,32,2,0,11,1,9,0,0,21,30.254401030485187,0.4510437334878495,45,87,43,105,33,113
"Winnetka village, Illinois",WINNETKA PD,12563,0,1,0,1,12,75,2,0,97,5,1,0,0,103,12477,0,1,0,1,16,81,4,0,31,1,9,1,0,42,34.96765996765997,0.4210186509717915,34,58,43,86,27,73
"Winthrop Harbor village, Illinois",WINTHROP HARBOR PD,6722,0,8,0,5,13,50,5,0,18,7,19,0,0,44,6726,1,6,0,3,5,40,1,0,27,7,22,0,0,56,27.028815054395768,0.48817146013718227,69,115,77,142,46,135
"Wonder Lake village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.08245243128964,0.35862452588477634,87,182,90,207,64,166
"Wood Dale city, Illinois",WOODDALE PD,13986,0,0,3,4,23,142,6,0,71,8,62,0,0,141,14016,0,1,7,1,22,119,9,0,75,10,55,0,0,140,26.395529338714685,0.7823781286183936,36,67,36,80,16,54
"Woodridge village, Illinois",WOODRIDGE PD (MCA),33474,1,8,11,11,40,321,13,7,153,21,87,1,2,264,33511,1,6,12,18,29,334,10,1,155,17,81,0,0,253,30.586764788495028,1.0307178309468414,39,122,28,117,26,162
"Woodstock city, Illinois",WOODSTOCK PD,25262,1,9,3,17,46,285,11,0,38,10,44,0,0,92,25222,0,8,5,21,55,301,3,1,52,17,45,0,1,115,28.37665104388581,0.7695435735033012,80,120,84,137,56,113
"Worth village, Illinois",WORTH PD,10848,0,0,2,7,22,64,11,1,13,5,7,0,0,25,10859,0,1,4,5,22,101,8,0,6,4,3,0,0,13,33.86377215694085,0.5118996948116328,37,77,22,38,29,139
"Zion city, Illinois",ZION PD,24239,3,28,32,86,180,494,58,7,82,59,62,22,0,225,24316,1,20,38,111,275,491,51,2,110,91,96,15,0,312,28.72540022432956,1.2750424098551214,70,108,79,134,46,122
