Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Gilberts village, Illinois",GILBERTS PD,7727,0,0,0,0,1,24,0,0,0,0,0,0,0,0,7570,0,0,0,4,1,25,0,0,6,0,7,0,0,13,34.18701442841287,0.9650177422474773,58,,62,,34,
"Glen Ellyn village, Illinois",GLEN ELLYN PD,27856,0,3,8,12,39,265,5,1,97,14,68,1,3,183,27854,0,4,8,12,44,341,13,0,121,22,98,2,0,243,28.079539508110937,0.6509282219722661,41,76,39,94,28,102
"Glencoe village, Illinois",GLENCOE PD,8971,0,0,0,1,6,71,3,0,23,1,19,0,0,43,8885,0,1,0,2,22,65,7,0,14,0,3,0,0,17,33.92375274552871,0.3065063241162969,35,64,45,92,28,88
"Glendale Heights village, Illinois",GLENDALE HEIGHTS PD,34602,0,15,12,21,53,501,7,1,129,25,72,2,0,228,34715,0,6,8,13,60,444,6,6,132,15,91,1,0,239,26.809961371883414,1.2488647704675326,41,100,39,118,26,126
"Glenview village, Illinois",GLENVIEW PD,47292,0,6,6,16,90,409,14,1,63,11,45,0,0,119,45588,0,1,10,7,105,276,5,3,88,13,80,0,0,181,30.46535235347545,0.7408203763976134,31,46,41,80,22,45
"Glenwood village, Illinois",GLENWOOD PD,9046,0,0,9,9,53,116,7,0,20,8,3,0,0,31,9066,0,0,17,7,28,143,12,0,26,4,3,0,0,33,31.315307057745187,0.9302170359806651,38,112,40,132,46,161
"Godley village, Illinois",GODLEY PD (MCA),688,0,2,0,0,4,4,0,0,0,2,0,0,0,2,674,0,0,0,2,8,4,0,0,2,2,0,0,0,4,31.790123456790123,0.45767384349719453,70,,58,,61,
"Golf village, Illinois",GOLF PD,508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,507,0,0,0,0,0,3,0,0,1,0,1,0,0,2,28.875739644970412,0.48494462021736606,31,54,41,76,21,42
"Grayslake village, Illinois",GRAYSLAKE PD,21048,0,7,5,26,39,256,9,2,38,15,30,5,0,88,21132,0,2,4,18,34,229,13,5,41,9,33,0,0,83,31.22047244094488,0.7865816510999518,59,97,67,119,36,85
"Green Oaks village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.160771704180064,0.6569467483459281,49,,57,,26,
"Greenwood village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.267080745341616,0.2303161230035242,89,,93,,65,
"Gurnee village, Illinois",GURNEE PD,31194,1,6,5,11,74,1220,17,3,347,29,150,3,1,530,31273,0,6,12,15,56,1311,20,1,351,23,90,3,0,467,28.104243234213165,1.0169072617456034,54,135,62,162,31,161
"Hainesville village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.53671706263499,0.7811283027850883,64,129,72,144,41,108
"Hampshire village, Illinois",HAMPSHIRE PD,6081,0,0,0,8,3,27,1,0,13,1,17,0,0,31,5782,0,0,0,2,0,17,1,0,11,3,11,0,0,25,35.337566844919785,0.5506902075840044,68,,72,,43,
"Hanover Park village, Illinois",HANOVER PARK PD (MCA),38600,0,5,15,26,40,209,9,1,270,39,204,2,0,515,38640,1,8,11,21,55,269,13,3,258,38,208,3,2,509,29.881031613976706,1.2460859549560204,44,83,45,107,27,85
"Harvard city, Illinois",HARVARD PD,9179,0,1,0,13,22,73,3,0,19,7,14,0,0,40,9217,0,4,0,6,20,83,0,1,19,11,10,0,0,40,34.64358452138493,0.7146433561814203,91,134,95,151,67,125
