Place,FIPS
"Pingree Grove village, Illinois",59988
"Plainfield village, Illinois",60287
"Port Barrington village, Illinois",61216
"Posen village, Illinois",61314
"Prairie Grove village, Illinois",61678
"Prospect Heights city, Illinois",62016
"Richmond village, Illinois",63641
"Richton Park village, Illinois",63706
"Ringwood village, Illinois",64135
"River Forest village, Illinois",64304
"River Grove village, Illinois",64343
"Riverdale village, Illinois",64278
"Riverside village, Illinois",64421
"Riverwoods village, Illinois",64538
"Robbins village, Illinois",64616
"Rockdale village, Illinois",64902
"Rolling Meadows city, Illinois",65338
"Romeoville village, Illinois",65442
"Roselle village, Illinois",65806
"Rosemont village, Illinois",65819
"Round Lake Beach village, Illinois",66040
"Round Lake Heights village, Illinois",66053
"Round Lake Park village, Illinois",66066
"Round Lake village, Illinois",66027
"Sauk Village village, Illinois",67769
"Schaumburg village, Illinois",68003
"Schiller Park village, Illinois",68081
"Shorewood village, Illinois",69758
"Skokie village, Illinois",70122
"Sleepy Hollow village, Illinois",70161
"South Barrington village, Illinois",70564
"South Chicago Heights village, Illinois",70629
"South Elgin village, Illinois",70720
"South Holland village, Illinois",70850
"Spring Grove village, Illinois",72052
"St. Charles city, Illinois",66703
"Steger village, Illinois",72520
"Stickney village, Illinois",72676
"Stone Park village, Illinois",72923
"Streamwood village, Illinois",73157
"Sugar Grove village, Illinois",73391
"Summit village, Illinois",73638
"Symerton village, Illinois",74275
"Third Lake village, Illinois",75081
"Thornton village, Illinois",75185
"Tinley Park village, Illinois",75484
"Tower Lakes village, Illinois",75874
"Trout Valley village, Illinois",76160
"Union village, Illinois",76706
"University Park village, Illinois",76935
"Vernon Hills village, Illinois",77694
"Villa Park village, Illinois",77993
"Virgil village, Illinois",78175
"Volo village, Illinois",78227
"Wadsworth village, Illinois",78370
"Warrenville city, Illinois",78929
"Wauconda village, Illinois",79267
"Waukegan city, Illinois",79293
"Wayne village, Illinois",79397
"West Chicago city, Illinois",80060
"West Dundee village, Illinois",80125
"Westchester village, Illinois",80047
"Western Springs village, Illinois",80242
"Westmont village, Illinois",80645
"Wheaton city, Illinois",81048
"Wheeling village, Illinois",81087
