community,schools
"Lombard village, Illinois",0.2321882624857508
"Long Grove village, Illinois",6.101753228663652
"Lynwood village, Illinois",-4.960642873874393
"Lyons village, Illinois",-4.922305182943558
"McCook village, Illinois",1.6679391920469124
"McCullom Lake village, Illinois",-1.0550879260015622
"McHenry city, Illinois",-1.115284285183314
"Manhattan village, Illinois",1.505080259576444
"Maple Park village, Illinois",-0.49688780494694773
"Marengo city, Illinois",0.04203310522312188
"Markham city, Illinois",-3.552868688992155
"Matteson village, Illinois",-4.659038481749153
"Maywood village, Illinois",-4.352205846540422
"Melrose Park village, Illinois",-3.727558177237005
"Merrionette Park village, Illinois",-2.9587441813998607
"Mettawa village, Illinois",5.397765714270095
"Midlothian village, Illinois",-3.0275021939886386
"Minooka village, Illinois",0.5723493939576823
"Mokena village, Illinois",1.9725314871700623
"Monee village, Illinois",-3.047151107991326
"Montgomery village, Illinois",-1.8135137162381516
"Morton Grove village, Illinois",1.1404578476114076
"Mount Prospect village, Illinois",2.390167495149408
"Mundelein village, Illinois",-0.24551817531723502
"Naperville city, Illinois",4.004475489541828
"New Lenox village, Illinois",1.9091872705731634
"Niles village, Illinois",1.2064141041054484
"Norridge village, Illinois",-0.6250594833413479
"North Aurora village, Illinois",-3.0779358454355985
"North Barrington village, Illinois",3.6919807766218504
"Northbrook village, Illinois",5.13653099702691
"North Chicago city, Illinois",-6.552823711507646
"Northfield village, Illinois",7.5929566685086325
"Northlake city, Illinois",-2.8240690241588267
"North Riverside village, Illinois",1.9645519873457506
"Oak Brook village, Illinois",3.9089984182169686
"Oakbrook Terrace city, Illinois",-1.4939782422032923
"Oak Forest city, Illinois",-2.6246417443852357
"Oak Lawn village, Illinois",-2.5634150614811784
"Oak Park village, Illinois",3.0974328890597413
"Oakwood Hills village, Illinois",2.1287324113880137
"Old Mill Creek village, Illinois",1.3964499761064135
"Olympia Fields village, Illinois",-4.309263917171223
"Orland Hills village, Illinois",0.5004554971919267
"Orland Park village, Illinois",0.5004554971919267
"Palatine village, Illinois",1.7576810318409808
"Palos Heights city, Illinois",-1.2160858489669695
"Palos Hills city, Illinois",0.5004554971919267
"Palos Park village, Illinois",0.6525513504362261
"Park City city, Illinois",-0.06330930086853225
"Park Forest village, Illinois",-4.309004960607547
"Park Ridge city, Illinois",1.3090317940291583
"Peotone village, Illinois",-0.5861484790377668
"Phoenix village, Illinois",-5.697572811126956
"Pingree Grove village, Illinois",-0.8062053684799558
"Plainfield village, Illinois",-0.7126343774482339
"Port Barrington village, Illinois",1.7989451666723328
"Posen village, Illinois",-3.2208502275941906
"Prairie Grove village, Illinois",2.1287324113880137
"Prospect Heights city, Illinois",2.390167495149409
"Richmond village, Illinois",1.5173805447766104
"Richton Park village, Illinois",-4.659038481749153
"Ringwood village, Illinois",-0.6854696587825074
"Riverdale village, Illinois",-5.697572811126956
"River Forest village, Illinois",3.0974328890597413
"River Grove village, Illinois",-2.23485640208092
"Riverside village, Illinois",2.8148680116360443
"Riverwoods village, Illinois",5.682947899907587
"Robbins village, Illinois",-2.9587441813998607
"Rockdale village, Illinois",-2.9681131342644647
"Rolling Meadows city, Illinois",2.1452473854300638
"Romeoville village, Illinois",-2.043285158999086
"Roselle village, Illinois",1.5807174419260919
"Rosemont village, Illinois",-1.5400882488376506
"Round Lake village, Illinois",-1.4744465244537375
"Round Lake Beach village, Illinois",-1.7788620702096678
"Round Lake Heights village, Illinois",-2.046970222698692
"Round Lake Park village, Illinois",-1.184534786491553
"St. Charles city, Illinois",2.518179778199128
"Sauk Village village, Illinois",-5.091372280825327
"Schaumburg village, Illinois",1.7576810318409808
"Schiller Park village, Illinois",-2.2938902277053304
"Shorewood village, Illinois",-1.2456767610153632
"Skokie village, Illinois",1.3301525951183528
"Sleepy Hollow village, Illinois",-0.806205368479956
"South Barrington village, Illinois",3.701195467303642
"South Chicago Heights village, Illinois",-5.091372280825327
"South Elgin village, Illinois",-0.4166838369252605
"South Holland village, Illinois",-5.697572811126956
"Spring Grove village, Illinois",1.5173805447766104
"Steger village, Illinois",-5.091372280825327
"Stickney village, Illinois",-5.173053779166343
"Stone Park village, Illinois",-4.352205846540422
"Streamwood village, Illinois",-2.2296351334175655
"Sugar Grove village, Illinois",-0.12589718221813714
"Summit village, Illinois",-2.167687693260261
"Symerton village, Illinois",-1.636757545787427
"Third Lake village, Illinois",1.3502542734770655
"Thornton village, Illinois",-5.306344461475702
"Tinley Park village, Illinois",-0.5172651203871774
"Tower Lakes village, Illinois",3.701195467303642
"Trout Valley village, Illinois",2.1287324113880137
"Union village, Illinois",0.04203310522312188
"University Park village, Illinois",-3.047151107991326
"Vernon Hills village, Illinois",5.400248945314493
"Villa Park village, Illinois",-1.4939782422032923
"Virgil village, Illinois",-0.03598203085474541
"Volo village, Illinois",0.3007339849308239
"Wadsworth village, Illinois",-0.6606827295575282
"Warrenville city, Illinois",2.7397641632419196
"Wauconda village, Illinois",0.8078252514147337
"Waukegan city, Illinois",-2.418744808016111
"Wayne village, Illinois",-1.266568107865246
"Westchester village, Illinois",-4.352205846540422
"West Chicago city, Illinois",-1.6063843936357967
"West Dundee village, Illinois",-0.806205368479956
"Western Springs village, Illinois",3.898936023265843
"Westmont village, Illinois",1.6550497036438228
"Wheaton city, Illinois",2.343376456020443
"Wheeling village, Illinois",2.3901674951494085
"Willowbrook village, Illinois",5.013431382796735
"Willow Springs village, Illinois",0.4942844096786702
"Wilmette village, Illinois",7.5929566685086325
"Wilmington city, Illinois",-1.636757545787427
"Winfield village, Illinois",-0.8305358150903652
"Winnetka village, Illinois",7.5929566685086325
"Winthrop Harbor village, Illinois",-3.4075883559254336
"Wonder Lake village, Illinois",-0.897988637942326
"Wood Dale city, Illinois",-1.4939687594273643
"Woodridge village, Illinois",1.3163020344946685
"Woodstock city, Illinois",-0.6757600641696252
"Worth village, Illinois",-1.9223133168377997
"Zion city, Illinois",-3.407588355925434
