community,school_name,meet_benchmark_english,meet_benchmark_reading,meet_benchmark_math,meet_benchmark_science,meet_benchmark_all_four,average_class_size_high_school,act_english,act_math,act_reading,act_science,act_composite,school_coverage
KENWOOD,KENWOOD HS,60.6,32.5,31,26.8,26.8,26.6,19.3,19.2,19.5,19.6,19.5,0.588431482044136
LAKE VIEW,LAKE VIEW HS,52,17.6,23.3,19.3,19.3,23.1,17.6,18.8,18.1,18.9,18.5,0.862093873508163
NORTH CENTER,LAKE VIEW HS,52,17.6,23.3,19.3,19.3,23.1,17.6,18.8,18.1,18.9,18.5,0.699291911791473
AUSTIN,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.103119556339221
EAST GARFIELD PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.691102539358566
HUMBOLDT PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.107556020473682
NEAR WEST SIDE,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.109384791783901
WEST GARFIELD PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.440300809507777
NORTH PARK,MATHER HS,31.2,15,16,11.2,11.2,24.8,15.6,17.5,17,17.4,17,0.623488419546677
WEST RIDGE,MATHER HS,31.2,15,16,11.2,11.2,24.8,15.6,17.5,17,17.4,17,0.697879926151349
BEVERLY,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.99996870911657
MORGAN PARK,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.892706697654221
MOUNT GREENWOOD,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.999999776574497
ARMOUR SQUARE,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.851383735886498
DOUGLAS,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.999876030692542
FULLER PARK,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.764237664382893
GRAND BOULEVARD,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.627047264214138
LOOP,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.770928565395881
NEAR SOUTH SIDE,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.999865293328557
OAKLAND,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.720951927476336
WASHINGTON PARK,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.625490718309937
ALBANY PARK,ROOSEVELT HS,23.5,8,5.8,3.4,3.4,24.9,14.5,16.1,15.5,16,15.7,0.760359456754145
IRVING PARK,ROOSEVELT HS,23.5,8,5.8,3.4,3.4,24.9,14.5,16.1,15.5,16,15.7,0.258709101340747
AVONDALE,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.999999595706469
DUNNING,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.102463922689383
HERMOSA,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.193338547107618
IRVING PARK,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.699437924564599
LOGAN SQUARE,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.108606586832209
NORTH CENTER,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.102478938785696
PORTAGE PARK,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.599394662830379
EDGEWATER,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.951175850220657
LINCOLN SQUARE,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.194760445252524
ROGERS PARK,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.111461146589895
UPTOWN,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.894742246764373
WEST RIDGE,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.14333120121565
AUSTIN,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.18221748640969
BELMONT CRAGIN,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.467932439279313
DUNNING,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.897536040021137
MONTCLARE,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.999999984284392
OHARE,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.10180902982984
ROGERS PARK,SULLIVAN HS,25.3,8,10.5,6.2,6.2,20.4,14.3,16.6,15.7,16.2,15.8,0.888295077470846
WEST RIDGE,SULLIVAN HS,25.3,8,10.5,6.2,6.2,20.4,14.3,16.6,15.7,16.2,15.8,0.15495843038466
ALBANY PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.237371422340457
EDISON PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.999999894609658
FOREST GLEN,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.995686821299029
JEFFERSON PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.999999993101052
NORTH PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.318495018882914
NORWOOD PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.999999943744532
OHARE,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.134759893021212
PORTAGE PARK,TAFT HS,62,29.1,26.4,22.6,22.6,24.4,19,18.9,19.2,19.1,19.2,0.289692630571097
ARMOUR SQUARE,TILDEN HS,11.9,3.7,1.8,2.8,2.8,17.2,13.2,15.1,14.8,15.1,14.6,0.148606265864129
BRIDGEPORT,TILDEN HS,11.9,3.7,1.8,2.8,2.8,17.2,13.2,15.1,14.8,15.1,14.6,0.955410948062171
FULLER PARK,TILDEN HS,11.9,3.7,1.8,2.8,2.8,17.2,13.2,15.1,14.8,15.1,14.6,0.235762335617097
NEW CITY,TILDEN HS,11.9,3.7,1.8,2.8,2.8,17.2,13.2,15.1,14.8,15.1,14.6,0.636482532733544
LAKE VIEW,LINCOLN PARK HS,79.9,55.2,54.9,46.9,46.9,27.7,22.7,21.9,22.8,21.7,22.4,0.120957145958781
LINCOLN PARK,LINCOLN PARK HS,79.9,55.2,54.9,46.9,46.9,27.7,22.7,21.9,22.8,21.7,22.4,0.987800633269169
NEAR NORTH SIDE,LINCOLN PARK HS,79.9,55.2,54.9,46.9,46.9,27.7,22.7,21.9,22.8,21.7,22.4,0.388704541480843
EAST SIDE,WASHINGTON HS,37.8,13.8,10,10.9,10.9,22.3,16.2,16.7,16.9,17.4,16.9,0.999936369641319
HEGEWISCH,WASHINGTON HS,37.8,13.8,10,10.9,10.9,22.3,16.2,16.7,16.9,17.4,16.9,0.844175889156653
SOUTH DEERING,WASHINGTON HS,37.8,13.8,10,10.9,10.9,22.3,16.2,16.7,16.9,17.4,16.9,0.766969502574863
LOOP,WELLS HS,20.4,5.3,4.4,4.4,4.4,20.6,14.4,16.4,15.8,15.8,15.7,0.212295296204573
NEAR NORTH SIDE,WELLS HS,20.4,5.3,4.4,4.4,4.4,20.6,14.4,16.4,15.8,15.8,15.7,0.611291815037998
NEAR WEST SIDE,WELLS HS,20.4,5.3,4.4,4.4,4.4,20.6,14.4,16.4,15.8,15.8,15.7,0.743319397992616
WEST TOWN,WELLS HS,20.4,5.3,4.4,4.4,4.4,20.6,14.4,16.4,15.8,15.8,15.7,0.584839588289169
AVALON PARK,CHICAGO VOCATIONAL HS,12.7,1.4,2.1,1.4,1.4,20.2,13.7,15.2,14.5,15.3,14.8,0.645606040899139
SOUTH CHICAGO,CHICAGO VOCATIONAL HS,12.7,1.4,2.1,1.4,1.4,20.2,13.7,15.2,14.5,15.3,14.8,0.206338900522046
SOUTH SHORE,CHICAGO VOCATIONAL HS,12.7,1.4,2.1,1.4,1.4,20.2,13.7,15.2,14.5,15.3,14.8,0.864928978512221
NEW CITY,RICHARDS HS,13.1,2,3,3,3,19.5,13.5,15.5,14.3,15.2,14.8,0.256575127537672
PULLMAN,CORLISS HS,14.4,4.5,1.8,4.5,4.5,22,13.3,15,15,15.4,14.8,0.76789231293832
RIVERDALE,CORLISS HS,14.4,4.5,1.8,4.5,4.5,22,13.3,15,15,15.4,14.8,0.460236151059941
ROSELAND,CORLISS HS,14.4,4.5,1.8,4.5,4.5,22,13.3,15,15,15.4,14.8,0.343080936157256
WASHINGTON HEIGHTS,CORLISS HS,14.4,4.5,1.8,4.5,4.5,22,13.3,15,15,15.4,14.8,0.249744595258382
WEST PULLMAN,CORLISS HS,14.4,4.5,1.8,4.5,4.5,22,13.3,15,15,15.4,14.8,0.127213032595194
LOGAN SQUARE,CLEMENTE HS,17.4,4.6,2.1,2.6,2.6,26.2,14,15.5,14.9,15.3,15,0.527773508356433
WEST TOWN,CLEMENTE HS,17.4,4.6,2.1,2.6,2.6,26.2,14,15.5,14.9,15.3,15,0.415160394681024
AUSTIN,MANLEY HS,15.7,1.9,1.9,1.9,1.9,21,13.4,15.1,14.3,14.8,14.5,0.11192116838111
EAST GARFIELD PARK,MANLEY HS,15.7,1.9,1.9,1.9,1.9,21,13.4,15.1,14.3,14.8,14.5,0.26005901325366
NEAR WEST SIDE,MANLEY HS,15.7,1.9,1.9,1.9,1.9,21,13.4,15.1,14.3,14.8,14.5,0.141127195978089
NORTH LAWNDALE,MANLEY HS,15.7,1.9,1.9,1.9,1.9,21,13.4,15.1,14.3,14.8,14.5,0.47169630953888
WEST GARFIELD PARK,MANLEY HS,15.7,1.9,1.9,1.9,1.9,21,13.4,15.1,14.3,14.8,14.5,0.367281164495922
ARCHER HEIGHTS,CURIE HS,44.5,16.7,19.9,16.3,16.3,24.9,17,18,17.6,18.1,17.8,0.99961730108246
BRIGHTON PARK,CURIE HS,44.5,16.7,19.9,16.3,16.3,24.9,17,18,17.6,18.1,17.8,0.1218813044478
GAGE PARK,CURIE HS,44.5,16.7,19.9,16.3,16.3,24.9,17,18,17.6,18.1,17.8,0.273922947837938
WEST ELSDON,CURIE HS,44.5,16.7,19.9,16.3,16.3,24.9,17,18,17.6,18.1,17.8,0.900798529425313
ROSELAND,JULIAN HS,21.5,5.4,1.2,2.1,2.1,21.4,14.3,15.3,15.1,15.7,15.2,0.130012948502908
WASHINGTON HEIGHTS,JULIAN HS,21.5,5.4,1.2,2.1,2.1,21.4,14.3,15.3,15.1,15.7,15.2,0.350429769482052
ENGLEWOOD,ROBESON HS,17.9,0.9,0.9,1.8,1.8,19.4,13.4,14.7,14.1,14.2,14.2,0.714608182752007
GREATER GRAND CROSSING,ROBESON HS,17.9,0.9,0.9,1.8,1.8,19.4,13.4,14.7,14.1,14.2,14.2,0.454596877186963
WEST ENGLEWOOD,ROBESON HS,17.9,0.9,0.9,1.8,1.8,19.4,13.4,14.7,14.1,14.2,14.2,0.13067803156481
LOWER WEST SIDE,JUAREZ HS,33,9.4,8.6,6.6,6.6,20.8,15.7,16.9,16.3,17,16.6,0.842625835094326
ENGLEWOOD,HOPE HS,14.3,2,1,0,0,18.4,13.6,15.1,14.9,15.4,14.9,0.210559808240662
WEST ENGLEWOOD,HOPE HS,14.3,2,1,0,0,18.4,13.6,15.1,14.9,15.4,14.9,0.24013764226001
CALUMET HEIGHTS,BOWEN HS,18.4,1,2.9,1.9,1.9,19.5,14,15.8,14.7,15.8,15.2,0.999347060828947
SOUTH CHICAGO,BOWEN HS,18.4,1,2.9,1.9,1.9,19.5,14,15.8,14.7,15.8,15.2,0.79366081037369
SOUTH DEERING,BOWEN HS,18.4,1,2.9,1.9,1.9,19.5,14,15.8,14.7,15.8,15.2,0.206968320145177
HERMOSA,NORTH-GRAND HS,29.1,8.7,10.2,6.3,6.3,26.2,15.3,17,16.3,17.3,16.6,0.179279449300431
HUMBOLDT PARK,NORTH-GRAND HS,29.1,8.7,10.2,6.3,6.3,26.2,15.3,17,16.3,17.3,16.6,0.108269944139841
NORTH LAWNDALE,INFINITY HS,40.9,13.6,30,15.5,15.5,18,16.9,19.3,17.2,18.2,18.1,0.301984261874846
SOUTH LAWNDALE,INFINITY HS,40.9,13.6,30,15.5,15.5,18,16.9,19.3,17.2,18.2,18.1,0.33728509860297
AUSTIN,VOISE HS,15.4,2.6,2.6,3.8,3.8,14.7,14.1,15.7,15.3,16,15.4,0.337235581622832
AUSTIN,ORR HS,14.8,3.7,5.2,3.7,3.7,24.6,13.5,15.7,14.4,15.1,14.8,0.195454846016938
HUMBOLDT PARK,ORR HS,14.8,3.7,5.2,3.7,3.7,24.6,13.5,15.7,14.4,15.1,14.8,0.684204944666004
WEST GARFIELD PARK,ORR HS,14.8,3.7,5.2,3.7,3.7,24.6,13.5,15.7,14.4,15.1,14.8,0.1924180259963
GAGE PARK,SOLORIO HS,32.3,6.4,21.9,12.7,12.7,22.5,15.5,18.2,16.3,17.5,17,0.232833212205692
